,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
2324,3985,3890,3919,17324,17400,16099,596,513,553,957,957,980,47558,45929,44805,31978,29953,28316,49360,47713,45456
2355,4017,3852,3956,17443,17467,16525,562,526,545,957,943,957,48057,46248,45246,31679,29931,28422,50023,48470,45777
2386,4095,3884,4060,17281,17611,16337,581,533,577,995,938,966,48532,46778,45716,31719,29706,28362,50248,48358,46309
2417,4214,3909,4045,17532,17645,16604,551,547,562,971,951,986,48999,47321,46071,31930,29731,28491,50161,48736,46849
2448,3969,4022,4026,17749,17730,16913,551,587,580,1017,942,943,49427,47619,46117,31611,29776,28259,51516,49192,47110
2479,4214,4039,4045,17926,18087,16816,575,559,555,979,989,966,49703,48390,47048,31385,29506,28234,51412,49922,47776
2510,4235,4098,4113,18118,18149,16944,621,590,566,1027,978,1029,50009,48626,47398,31353,29516,28190,52017,50085,48372
2541,4299,4060,4105,18237,18459,17297,617,582,589,1002,1007,1057,50574,48890,47489,31347,29275,28097,52463,50374,48432
2572,4377,3949,4145,18551,18436,17298,637,569,554,1002,1053,1066,51179,49320,48318,31130,29365,28076,53176,51061,49346
2603,4376,4166,4242,18429,18735,17459,608,582,593,1032,986,1038,51389,49748,48637,30950,29129,27916,53645,51275,49262
2634,4358,4158,4211,18495,18771,17559,650,606,591,1061,1050,1106,51406,50193,48944,30951,29110,27882,53771,51577,49580
2665,4386,4232,4350,18859,19073,17786,634,588,587,1049,996,1052,52197,50429,49643,30971,29070,27891,54044,52353,50226
2696,4475,4117,4295,19014,19289,17880,591,547,616,1004,1055,1039,52633,50499,49427,30862,28861,27642,54251,52745,50322
2727,4511,4266,4383,19228,19076,18030,655,574,583,1081,1035,1038,52527,51239,49811,30606,29056,27668,54816,53425,50722
2758,4481,4383,4462,19527,19726,18081,597,621,645,1038,1039,1108,53427,51470,50263,30784,28897,27547,55300,53476,51105
2789,4449,4400,4393,19479,19542,18254,664,629,628,1019,1035,1077,53871,51578,50811,30391,28984,27483,56213,54165,51534
2820,4609,4317,4358,19508,19916,18492,667,639,629,1109,1088,1107,53822,52233,51000,30800,28542,27445,56597,54197,51988
2851,4523,4356,4490,19715,19757,18670,675,623,611,1078,1080,1122,54705,52796,51479,30232,28621,27542,56506,54810,52510
2882,4696,4377,4544,19901,19793,18699,671,604,636,1076,1061,1074,54715,52854,51747,30318,28461,27493,57138,54885,52775
2913,4643,4523,4487,19948,20050,19090,671,622,623,1097,1082,1108,54928,53129,52082,30187,28404,27317,57463,55621,53262
2944,4695,4526,4578,20158,20253,18988,671,612,634,1136,1065,1107,55922,53501,52350,30028,28216,27114,57477,55969,53102
2975,4789,4427,4642,20240,20273,19122,631,641,657,1114,1122,1100,55676,53678,52582,29936,28252,27071,58395,56523,53937
3006,4701,4536,4546,20494,20577,19300,691,664,599,1170,1102,1091,56470,54216,53174,29750,28025,26677,58659,56723,54341
3037,4707,4595,4648,20846,20371,19570,670,640,697,1137,1099,1134,56181,54289,53259,29790,27736,26655,59064,56721,54804
3068,4859,4638,4650,20833,20923,19625,691,664,667,1158,1112,1088,57247,55115,53844,29756,27815,26851,59113,57625,54913
3099,4873,4660,4599,20698,21254,19564,712,657,667,1099,1083,1162,57707,55602,54291,29738,27892,26554,59832,57588,54814
3130,4794,4609,4733,20936,21261,19770,712,639,707,1171,1140,1123,57793,55922,54528,29474,27454,26387,60215,58240,55568
3161,4949,4579,4818,21278,21360,19799,690,651,652,1196,1124,1145,58099,55998,54609,29385,27449,26400,60550,58227,55991
3192,4896,4819,4864,21312,21437,19979,708,712,699,1187,1168,1138,58484,56228,55337,29225,27548,26413,60620,58956,56175
3223,4932,4754,4845,21378,21529,19938,695,695,684,1140,1121,1177,58568,56699,55368,28873,27227,26132,61426,59305,56901
3254,4891,4690,4757,21729,21692,20321,777,665,689,1203,1145,1156,58936,56733,55577,28918,27052,26141,61528,59235,56954
