,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
3378,7359,7432,7346,4868,4886,4904,720,691,715,135,129,137,346,355,367,2748,2840,2789,11907,11472,10923
3409,7381,7312,7332,5051,4733,5017,735,722,714,150,134,126,338,335,371,2770,2711,2774,11869,11604,11157
3440,7380,7389,7387,5078,4842,4941,744,727,713,152,136,149,378,356,355,2814,2857,2744,12149,11809,11163
3471,7461,7380,7455,5008,4852,4961,725,728,718,145,132,162,378,324,352,2731,2832,2863,12083,11951,11326
3502,7595,7536,7545,5098,4921,4980,746,734,739,139,144,149,378,345,368,2815,2906,2860,12172,12029,11361
3533,7486,7521,7588,5233,4968,4898,713,727,739,147,137,136,352,386,343,2822,2938,2941,12276,11749,11338
3564,7597,7580,7722,5119,5049,5065,736,717,762,128,139,142,381,354,371,2853,2961,2830,12206,11866,11510
3595,7571,7728,7590,5207,5048,4972,744,746,753,144,129,151,342,365,354,2804,3010,2855,12351,12110,11328
3626,7759,7615,7688,5074,4994,5042,735,729,756,134,139,136,382,380,380,2912,2935,2879,12426,12205,11647
3657,7684,7603,7654,5288,5108,5101,740,727,780,138,156,128,354,355,357,2862,3069,2886,12524,12268,11749
3688,7815,7639,7853,5295,5092,5118,791,748,795,131,141,136,397,380,372,2944,2970,2980,12497,12278,11833
3719,7810,7797,7878,5228,5244,5211,768,704,754,139,145,141,397,350,380,2966,3025,2976,12684,12307,11725
3750,7948,7862,7897,5311,5159,5194,777,747,770,134,154,149,399,367,398,2898,3042,3001,12640,12312,11810
3781,7916,7905,7904,5326,5184,5251,777,701,754,128,153,155,382,368,408,2932,3106,2972,12762,12620,11848
3812,7935,7878,7940,5361,5158,5229,760,755,768,147,149,124,372,362,402,2942,2978,3004,12779,12400,12049
3843,7954,7885,7969,5404,5337,5232,817,780,769,151,144,142,363,381,373,2948,2963,3069,12796,12728,12022
3874,7964,7918,8041,5558,5176,5359,777,766,767,153,167,153,391,365,357,2936,3071,3104,13067,12773,12078
3905,8084,7951,8001,5493,5290,5358,830,793,834,164,160,142,365,382,381,2997,2979,3046,12885,12815,12132
3936,8132,7991,7993,5505,5304,5457,789,792,794,176,151,122,392,378,372,3015,3039,3073,12826,12768,12164
3967,8234,7974,8142,5510,5337,5352,773,752,798,147,153,143,407,357,392,3012,3200,3081,13146,12771,12406
3998,8260,8010,8128,5519,5371,5385,787,784,843,144,143,147,405,357,372,3023,3102,3130,13119,12930,12423
4029,8226,8234,8182,5562,5353,5514,826,810,815,139,158,132,382,380,388,3073,3041,3071,13414,12823,12304
4060,8308,8179,8373,5703,5324,5402,768,801,804,132,135,159,396,380,381,3079,3139,3145,13420,13007,12380
4091,8253,8228,8323,5532,5457,5466,824,822,816,162,166,145,407,393,363,3138,3179,3168,13292,13147,12410
4122,8200,8287,8213,5580,5409,5682,841,801,836,134,147,130,397,395,380,3063,3209,3088,13401,13110,12443
4153,8392,8253,8397,5566,5580,5658,801,815,813,139,153,139,391,393,398,3073,3196,3133,13542,13225,12333
4184,8313,8282,8452,5691,5430,5514,818,737,774,142,149,143,375,401,400,3148,3192,3103,13491,13307,12790
4215,8384,8248,8327,5677,5459,5578,772,822,790,146,160,139,396,375,411,3118,3263,3199,13595,13368,12641
4246,8501,8297,8527,5710,5533,5677,853,799,833,140,155,136,382,395,409,3084,3274,3173,13463,13411,12985
4277,8552,8597,8633,5754,5596,5702,856,782,803,166,161,146,390,409,391,3147,3267,3185,13722,13352,12737
4308,8523,8569,8509,5743,5406,5624,843,796,824,170,137,166,428,423,418,3079,3232,3206,13748,13485,12855
4339,8520,8612,8694,5841,5675,5675,825,813,804,141,162,147,424,395,382,3122,3359,3209,13795,13430,12846
4370,8722,8655,8664,5679,5635,5652,839,820,839,144,151,162,432,398,398,3221,3342,3329,13879,13751,12926
4401,8688,8575,8509,5882,5726,5717,845,811,851,151,162,162,417,395,397,3264,3325,3191,13799,13646,12997
4432,8649,8703,8585,5964,5708,5739,814,787,826,136,154,153,416,434,392,3241,3366,3249,13825,13581,13223
4463,8750,8626,8719,6054,5666,5702,818,835,863,170,174,153,407,403,408,3280,3306,3344,13674,13693,12948
4494,8715,8749,8856,5921,5632,5835,837,790,877,155,165,143,420,391,466,3161,3365,3251,13879,13924,13012
4525,8900,8787,8838,5883,5665,5734,857,792,847,163,149,169,416,401,430,3236,3353,3382,14172,13844,13173
4556,8853,8737,8779,5864,5745,5762,867,837,836,156,170,142,445,417,429,3365,3397,3359,14103,13839,13326
4587,8745,8770,8825,6024,5745,5832,883,815,856,176,169,158,390,393,443,3241,3365,3367,14125,13767,13358
4618,8880,8781,8845,5902,5748,5843,827,839,875,171,160,170,440,385,430,3404,3374,3421,14260,13909,13413
4649,9069,8931,8984,6101,5809,5971,839,786,892,171,166,160,437,428,437,3373,3456,3324,14251,13874,13329
4680,9032,8779,8914,6037,5975,5923,857,853,892,163,165,175,414,390,401,3279,3444,3386,14235,14141,13320
4711,9093,8866,8942,6080,5906,5815,881,856,890,169,169,164,416,418,426,3360,3423,3386,14240,14092,13740
4742,9142,8929,8969,6013,5923,6004,898,890,904,157,170,151,422,378,409,3387,3497,3418,14500,14195,13576
4773,9109,9047,8976,6169,5907,6031,894,822,811,152,176,158,426,418,414,3409,3484,3372,14404,14151,13394
4804,9171,9010,9058,6074,5949,6076,887,862,888,158,166,162,412,417,452,3357,3450,3448,14544,14217,13481
4835,9302,8898,9135,6152,5847,6078,892,824,898,162,168,189,435,422,430,3353,3448,3427,14594,14516,13606
4866,8989,8910,9044,6171,5981,5997,908,910,870,170,168,153,430,397,450,3449,3452,3357,14570,14415,13785
4897,9162,8993,9160,6155,5951,6082,890,816,862,158,161,177,418,434,443,3509,3459,3457,14661,14281,13674
4928,9138,9136,9136,6262,6020,6011,894,876,929,149,175,178,418,439,412,3454,3518,3433,14631,14524,13644
4959,9351,9211,9179,6264,5998,6075,929,841,862,163,176,165,450,431,397,3361,3624,3416,14833,14614,13803
4990,9312,9103,9179,6315,6141,6184,904,885,913,172,155,167,468,404,444,3452,3528,3486,14701,14624,13905
5021,9240,9216,9197,6235,6031,6031,896,892,926,170,172,167,455,410,421,3467,3568,3513,14769,14432,13969
5052,9336,9233,9246,6281,6196,6152,922,856,873,158,157,167,437,443,452,3349,3615,3590,14862,14590,14099
5083,9388,9198,9437,6369,6069,6173,873,888,913,183,171,160,450,435,455,3486,3514,3585,14885,14603,13905
5114,9359,9349,9398,6372,6154,6162,904,887,939,169,151,170,469,445,414,3475,3563,3626,15036,14858,14031
5145,9270,9264,9268,6429,6115,6211,910,908,905,172,178,167,471,423,463,3531,3564,3488,14929,14742,14083
5176,9412,9341,9366,6495,6220,6219,919,886,938,171,175,179,457,432,469,3503,3548,3586,14952,15036,14083
5207,9628,9306,9395,6470,6181,6294,939,968,918,170,173,164,447,450,411,3604,3686,3654,15073,14786,14236
5238,9551,9449,9525,6486,6121,6271,928,911,895,170,162,162,435,437,456,3607,3661,3544,15103,14877,14119
5269,9650,9455,9382,6503,6205,6303,941,881,923,171,153,167,441,454,438,3562,3632,3587,15374,14931,14124
5300,9605,9470,9659,6546,6188,6204,924,892,961,158,165,172,449,416,446,3537,3680,3622,15146,15023,14381
5331,9445,9471,9491,6429,6283,6280,934,948,970,177,189,157,429,457,462,3554,3683,3553,15345,14861,14216
5362,9625,9531,9572,6526,6383,6287,943,885,947,200,164,167,447,437,469,3591,3712,3592,15424,15125,14243
5393,9667,9583,9569,6512,6349,6343,965,906,915,198,179,166,463,454,456,3583,3685,3617,15345,15169,14283
5424,9620,9552,9588,6548,6261,6258,906,909,915,175,174,174,447,420,441,3636,3740,3692,15445,15299,14312
5455,9794,9667,9554,6442,6377,6362,964,892,968,185,177,155,438,438,445,3586,3660,3677,15582,15209,14378
5486,9742,9738,9648,6535,6236,6448,900,873,985,193,184,168,483,436,482,3715,3744,3740,15341,15307,14559
5517,9800,9824,9658,6533,6281,6423,919,896,961,168,166,145,449,433,453,3689,3700,3672,15501,15226,14420
5548,9753,9611,9766,6642,6455,6281,968,905,959,182,169,165,462,452,477,3619,3773,3749,15445,15412,14546
5579,9883,9838,9978,6580,6300,6532,967,919,979,175,164,169,452,460,443,3572,3814,3717,15477,15141,14582
5610,9893,9821,9848,6612,6520,6374,936,975,945,170,181,177,469,450,452,3642,3742,3740,15582,15358,14628
5641,9804,9791,9774,6696,6491,6408,974,906,961,157,166,175,474,450,444,3725,3809,3764,15572,15312,14620
5672,9946,9680,9937,6728,6580,6479,955,911,935,171,187,177,480,428,453,3612,3835,3795,15591,15511,14894
5703,10180,9831,9834,6654,6504,6439,937,933,936,173,183,151,441,449,447,3737,3824,3687,15617,15549,14866
5734,10035,9959,9923,6711,6429,6571,1008,909,963,168,178,167,466,451,439,3703,3817,3775,15729,15558,15076
5765,10028,9893,9922,6698,6516,6542,951,942,964,181,166,189,485,443,460,3656,3799,3700,15846,15529,14829
5796,9982,9882,10169,6605,6500,6492,958,904,956,172,185,174,464,468,462,3793,3821,3766,15893,15508,14627
5827,9860,10072,9937,6722,6606,6604,966,938,968,192,191,153,447,454,473,3825,3703,3843,15745,15653,14856
5858,10165,9997,10078,6631,6470,6537,944,953,976,179,157,172,479,458,468,3799,3840,3888,16182,15398,15176
5889,10116,9991,9926,6822,6587,6585,942,959,955,172,177,160,479,479,477,3795,3776,3780,15946,15660,15067
5920,10006,10055,9963,6876,6513,6643,934,967,967,173,179,185,481,441,480,3742,3865,3785,16129,15673,15023
5951,10275,9987,10153,6799,6737,6496,982,955,935,181,176,179,485,493,462,3702,3934,3778,16124,15943,15206
5982,10239,9901,10033,6826,6631,6671,1022,913,953,175,200,179,446,426,455,3738,3933,3814,16110,15872,15114
6013,10323,9929,10042,6812,6660,6516,1014,951,985,194,171,168,493,490,480,3785,3868,3882,16251,15976,15242
6044,10230,10182,10100,6785,6586,6671,985,983,998,179,181,189,489,454,485,3778,3928,3863,16054,15928,15004
6075,10040,10186,9965,6719,6590,6760,974,919,963,164,174,178,504,469,450,3766,3957,3909,16255,16037,15155
6106,10158,10050,10136,6957,6662,6775,997,968,970,190,183,176,500,458,445,3879,3958,3880,16016,15957,15187
6137,10353,10137,10207,6930,6700,6694,978,921,979,196,157,206,513,452,460,3810,3844,3915,16054,16084,15310
6168,10363,10138,10217,6975,6751,6776,954,947,1000,183,183,170,471,480,481,3874,3985,3840,16246,16095,15126
6199,10302,10320,10289,6891,6604,6677,1042,923,1014,179,183,172,476,477,481,3950,3958,3835,16167,15997,15462
6230,10212,10186,10508,6923,6698,6759,994,993,988,187,181,183,492,455,467,3740,4023,3991,16220,15953,15180
6261,10388,10288,10303,6989,6614,6753,949,938,1005,168,197,177,465,459,474,3891,3957,3873,16428,16206,15317
