,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
6137,365,383,477,1319,1343,1587,140,100,84,41,45,46,407,615,517,56318,54279,56553,1012,783,809
6168,354,389,485,1368,1333,1561,130,115,84,49,49,53,370,630,568,56810,54368,56657,1033,757,845
6199,370,361,426,1377,1347,1566,112,113,86,55,41,50,386,598,526,56695,54121,56558,1135,799,818
6230,363,404,447,1327,1307,1595,117,105,90,55,32,47,375,646,543,56521,54205,56466,1088,810,834
6261,389,410,471,1399,1333,1636,120,107,81,50,45,58,386,644,543,56765,54217,56885,1105,742,818
6292,380,384,460,1406,1355,1567,130,94,90,42,39,47,404,650,525,56961,54307,57105,1104,823,854
6323,365,405,421,1397,1298,1596,103,104,84,48,38,50,380,592,571,56698,54493,56906,1063,779,835
6354,386,395,437,1433,1334,1586,129,103,89,43,48,60,398,634,537,57150,54238,57046,1067,801,870
6385,377,370,466,1376,1317,1619,126,108,93,53,52,48,403,628,572,57064,54572,57061,1144,814,863
6416,383,403,442,1353,1342,1620,130,114,90,37,35,41,378,638,563,57415,54746,57204,1120,839,872
6447,361,396,445,1416,1352,1587,124,124,91,39,33,50,373,621,546,57618,54339,57249,1156,786,864
6478,384,411,463,1412,1376,1649,143,109,96,51,48,45,397,644,528,57402,54795,57459,1068,780,874
6509,371,398,471,1393,1344,1622,122,118,86,44,45,39,385,675,545,57685,54627,57372,1121,800,867
6540,397,414,454,1363,1376,1658,114,101,77,42,38,46,409,653,560,56917,54401,57685,1131,805,851
6571,354,401,471,1435,1336,1667,128,119,89,45,39,50,400,613,560,57716,54652,57492,1086,786,798
6602,374,399,482,1393,1361,1615,122,110,88,55,41,50,392,628,557,57168,54763,57213,1082,809,877
6633,371,413,457,1390,1345,1624,127,113,93,48,50,48,386,663,524,57504,54561,57619,1071,760,843
6664,361,378,460,1405,1380,1600,139,107,87,54,50,49,382,655,537,57666,54733,57540,1107,795,835
6695,398,418,446,1435,1353,1683,128,102,79,48,38,48,409,659,536,57643,55134,57939,1091,819,836
6726,350,403,464,1463,1309,1626,120,124,77,50,52,44,430,640,535,57721,55066,57912,1104,805,850
6757,399,382,466,1425,1396,1636,140,111,86,41,49,52,390,632,543,57233,54893,57260,1160,786,851
6788,378,386,458,1417,1392,1645,130,104,81,47,39,46,399,691,559,57940,54984,57362,1088,830,878
6819,393,383,453,1439,1408,1652,107,99,95,43,50,36,402,653,564,57814,55223,58088,1114,788,830
6850,378,390,453,1460,1381,1667,128,109,94,28,45,60,407,663,583,57466,55378,58163,1133,794,873
6881,411,388,477,1470,1350,1590,134,113,100,40,36,64,405,662,558,57671,55306,57810,1135,807,844
6912,382,398,460,1371,1397,1666,122,116,84,51,45,50,390,653,586,57905,55644,57953,1111,818,877
6943,389,407,465,1432,1406,1662,119,132,105,37,38,52,399,642,549,58007,55340,57788,1143,768,879
6974,379,392,410,1477,1448,1660,136,105,94,48,42,58,424,674,547,58118,55186,57763,1148,782,863
7005,388,376,471,1457,1378,1686,141,115,92,43,33,50,411,679,578,57972,55293,58330,1171,794,898
7036,447,426,464,1448,1389,1706,121,115,98,44,50,60,386,650,571,57904,55549,58108,1133,781,869
7067,376,401,464,1451,1380,1647,127,107,88,47,42,45,411,667,570,58149,55383,58199,1211,811,862
7098,370,378,442,1452,1431,1702,115,111,94,54,42,60,419,674,570,58193,55431,58407,1223,801,867
7129,375,410,442,1442,1412,1661,138,129,99,46,44,48,445,667,554,57785,55559,57989,1132,818,855
7160,398,389,477,1455,1335,1649,134,109,108,45,33,52,382,670,538,58148,56038,58542,1112,794,845
7191,385,382,469,1463,1384,1623,115,100,73,48,35,42,402,678,576,58292,55785,58061,1087,827,909
7222,399,420,450,1454,1411,1720,126,132,82,55,50,52,395,708,576,57900,55892,57900,1128,813,907
7253,397,392,460,1421,1374,1732,133,107,90,52,41,47,400,661,588,58658,55315,58002,1163,784,894
7284,373,412,493,1489,1408,1626,124,109,87,54,46,45,454,644,563,58154,55666,58370,1185,771,868
7315,367,411,451,1410,1313,1671,119,108,101,49,37,50,419,640,589,58073,55453,58098,1171,806,875
7346,344,396,435,1411,1392,1706,133,116,98,48,44,50,403,643,562,58353,55774,58251,1162,842,851
7377,387,403,441,1408,1414,1645,119,139,88,37,50,53,413,670,575,58289,55582,58404,1193,802,880
7408,396,401,479,1446,1372,1639,122,119,81,48,48,44,370,668,592,58429,55682,58093,1112,783,866
7439,365,384,449,1488,1359,1692,133,122,88,55,35,45,397,664,611,58421,55809,58504,1119,814,921
7470,386,400,500,1503,1406,1718,135,104,78,48,45,50,421,680,581,58368,55962,58416,1120,818,933
7501,348,418,475,1478,1385,1666,137,107,83,39,54,54,415,685,570,58246,55862,58524,1122,825,856
7532,382,399,452,1490,1411,1718,123,103,96,48,49,35,369,673,568,58794,56046,58716,1141,809,883
