,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
3316,865,840,844,12384,11604,10918,2703,2634,2513,277,296,242,84,93,88,2339,2024,1945,15433,15764,12080
3347,888,828,784,12518,11616,10835,2706,2693,2584,280,270,272,95,73,88,2337,2064,1977,15351,15751,12013
3378,915,831,813,12556,11582,11021,2688,2613,2572,274,288,243,99,82,86,2441,2092,2024,15388,16033,12124
3409,907,849,839,12671,11748,10831,2712,2635,2601,288,256,267,90,89,100,2398,2092,1983,15579,16013,12260
3440,925,839,788,12568,11796,11308,2777,2719,2608,279,281,246,88,103,91,2383,2085,1967,15541,16063,12284
3471,923,885,834,12783,11717,11310,2831,2724,2638,294,280,297,95,89,90,2428,2123,2013,15583,16175,12030
3502,897,866,806,12936,11993,11209,2735,2731,2656,274,270,253,106,78,94,2468,2142,2032,15744,16263,12429
3533,972,858,844,12760,12067,11285,2773,2722,2676,274,266,247,98,97,114,2467,2161,2071,16010,16332,12307
3564,934,847,849,12855,12154,11232,2790,2697,2646,280,263,269,100,90,110,2455,2139,2038,16035,16540,12467
3595,943,887,848,12972,12236,11438,2799,2778,2690,244,257,282,115,97,102,2553,2129,2066,16020,16618,12476
3626,991,895,807,12952,12134,11563,2808,2718,2675,276,327,277,93,98,94,2447,2163,2049,16083,16486,12563
3657,936,829,801,12949,12185,11350,2782,2717,2674,261,272,274,99,99,98,2487,2115,2140,16231,16747,12620
3688,966,858,864,13225,12361,11454,2900,2764,2644,289,291,249,105,94,107,2454,2147,2093,16194,16948,12690
3719,954,858,874,13410,12303,11619,2837,2777,2747,283,291,270,92,103,100,2465,2192,2114,16330,17069,12852
3750,893,906,828,13378,12383,11493,2849,2822,2782,301,289,265,105,98,103,2572,2172,2189,16443,16971,12893
3781,940,925,886,13340,12484,11714,2980,2850,2716,305,291,277,88,79,90,2586,2240,2170,16551,16905,12940
3812,968,900,850,13240,12731,11780,2937,2798,2794,299,282,263,99,92,110,2623,2229,2100,16517,17257,13040
3843,1006,884,790,13552,12568,11841,3015,2832,2835,316,304,306,93,109,96,2596,2227,2144,16787,17538,13103
3874,1021,859,863,13629,12680,11801,2980,2919,2747,276,299,275,93,105,105,2558,2293,2158,16712,17377,13127
3905,984,904,875,13683,12520,12084,2898,2898,2838,282,268,279,110,102,101,2602,2228,2138,16834,17451,13223
3936,955,919,884,13555,12743,11889,2874,2828,2707,302,297,285,101,108,97,2541,2311,2136,16928,17543,13201
3967,978,966,866,13712,12905,12111,2943,2954,2817,316,299,270,103,88,107,2631,2286,2142,16937,17731,13327
3998,1015,866,886,13561,12865,12117,2909,2900,2781,303,293,293,86,103,100,2769,2294,2240,17039,17612,13500
4029,998,938,894,13892,13173,12309,2971,2901,2893,304,300,294,108,102,109,2565,2337,2210,16877,18080,13350
4060,981,896,895,13975,12896,12340,2994,2934,2797,306,282,287,107,103,111,2692,2307,2297,17205,17876,13583
4091,1067,936,911,13948,12955,12338,3092,2917,2882,278,297,280,104,104,94,2650,2286,2223,17030,18120,13443
