,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
5021,257,257,833,232037,227213,220734,547,187,188,47,41,40,189,193,255,1065,1139,1032,5213,6566,8093
5052,246,246,814,231964,228353,222195,619,203,172,43,37,37,200,189,249,1091,1077,1100,5252,6662,8088
5083,263,252,859,232815,228937,221988,619,221,174,45,50,56,206,206,246,1069,1133,1067,5360,6542,8266
5114,246,244,849,233210,228524,223260,589,176,171,35,47,37,196,194,272,1048,1185,1060,5307,6594,8332
5145,253,270,800,234034,229942,222699,566,183,162,39,38,43,217,211,259,1071,1107,1091,5321,6576,8188
5176,244,249,830,235640,229621,224212,608,198,178,37,54,35,204,201,266,1101,1141,1006,5360,6604,8217
5207,233,237,834,235068,231179,223952,596,213,172,39,37,39,204,196,272,1054,1113,1059,5351,6640,8271
5238,241,255,877,235713,231245,224287,570,185,182,31,49,46,219,191,255,1089,1167,1081,5406,6480,8340
5269,232,259,813,236366,231130,225780,603,199,170,41,39,46,183,203,271,1093,1140,1078,5531,6643,8407
5300,247,245,827,236572,231700,225436,604,219,187,37,49,45,204,204,257,1087,1167,1129,5366,6728,8393
5331,241,243,833,238043,233118,226283,595,190,177,37,39,40,218,221,261,1088,1191,1092,5434,6528,8460
5362,264,268,858,238324,233621,226297,591,202,191,43,38,51,204,201,254,1107,1148,1037,5370,6667,8339
5393,265,229,856,238486,233776,226207,604,182,201,39,48,51,204,216,265,1131,1154,1050,5410,6838,8466
5424,226,276,845,238414,233790,227873,591,191,182,36,50,41,200,201,255,1069,1112,1064,5317,6867,8487
5455,242,234,850,240109,234276,228438,579,214,199,43,37,42,219,201,268,1097,1154,1100,5537,6692,8541
5486,259,240,886,239807,234790,227384,599,210,185,40,58,41,201,204,281,1116,1139,1077,5454,6753,8386
5517,254,242,835,239855,235556,228601,620,191,179,41,43,44,233,236,266,1114,1150,1139,5441,6707,8471
5548,252,261,886,240641,235894,228200,613,208,181,37,45,50,206,212,234,1167,1177,1082,5464,6625,8486
5579,229,253,869,241266,236614,229562,585,206,164,37,44,41,208,198,258,1137,1177,1099,5489,6853,8692
5610,257,242,873,242566,237006,229483,608,209,189,32,43,48,194,194,248,1158,1160,1072,5362,6780,8608
5641,261,240,864,242186,237174,230403,593,204,206,38,44,51,202,230,248,1102,1175,1112,5386,6703,8579
5672,230,252,861,242240,238085,230600,643,213,188,33,44,45,198,206,280,1129,1181,1099,5605,6857,8640
5703,242,259,798,242775,238145,230438,601,207,170,38,33,43,211,217,264,1141,1137,1103,5527,6918,8745
5734,232,242,910,243071,238216,230797,638,209,183,37,39,53,198,204,260,1127,1201,1050,5558,6917,8714
5765,246,261,853,244153,238600,231214,588,225,183,35,46,38,202,219,271,1097,1131,1095,5586,6886,8765
5796,251,236,841,244387,239262,231900,608,185,190,35,43,54,210,227,281,1099,1228,1073,5661,6984,8741
5827,263,241,895,243608,239311,231658,665,213,189,37,41,47,186,209,241,1111,1175,1110,5620,6933,8659
5858,251,243,864,244289,239351,232545,577,201,196,29,52,50,194,212,251,1139,1178,1100,5666,6993,8808
5889,254,246,853,244587,240793,232557,643,199,199,45,50,34,210,196,270,1124,1200,1116,5729,7065,8688
5920,248,244,877,245405,240844,233106,610,190,190,45,42,38,206,201,263,1142,1189,1092,5647,6946,8828
